GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
list-set-map,es.ies.puerto.list,AnimalList,0,74,0,4,0,16,0,9,0,7
list-set-map,es.ies.puerto.list,PersonaList,0,78,0,6,0,20,0,9,0,6
list-set-map,es.ies.puerto,Producto,19,35,2,2,6,10,4,3,2,3
list-set-map,es.ies.puerto,Articulo,35,42,2,4,12,13,10,5,8,4
list-set-map,es.ies.puerto,Persona,38,39,2,4,13,12,11,4,9,3
list-set-map,es.ies.puerto,Item,19,35,2,2,6,10,4,3,2,3
list-set-map,es.ies.puerto,Animal,25,52,2,4,9,16,7,8,5,7
list-set-map,es.ies.puerto,Objeto,19,30,2,2,6,9,4,3,2,3
list-set-map,es.ies.puerto,Libro,31,46,2,4,11,14,9,6,7,5
list-set-map,es.ies.puerto.map,ArticuloMap,2,61,1,3,1,14,1,7,0,6
list-set-map,es.ies.puerto.map,ArticuloMapOrdenado,2,61,1,3,1,14,1,7,0,6
list-set-map,es.ies.puerto.set,AnimalSet,0,71,1,5,0,15,1,9,0,7
list-set-map,es.ies.puerto.set,LibroSet,3,76,2,4,2,15,2,8,0,7
